"Agency.Name","2019","2020","gap","GrowthOrNot"
"ADMIN FOR CHILDREN'S SVCS",72194.4481032771,73250.9473487646,1056.4992454875,1
"ADMIN TRIALS AND HEARINGS",49844.6887883212,50832.2314932127,987.542704891501,1
"BOARD OF CORRECTION",70197.4993103448,77789.2211111111,7591.72180076629,1
"BOARD OF ELECTION",57984.4735705521,56527.4359734513,-1457.03759710082,-1
"BOARD OF ELECTION POLL WORKERS",851.410910492992,866.344476879359,14.9335663863673,1
"BOROUGH PRESIDENT-BRONX",73910.3536363636,76808.8942592593,2898.54062289563,1
"BOROUGH PRESIDENT-BROOKLYN",72586.61296875,76400.9253030303,3814.3123342803,1
"BOROUGH PRESIDENT-QUEENS",68869.7194915254,68331.2074545455,-538.51203697997,-1
"BOROUGH PRESIDENT-STATEN IS",67861.8057777778,74610.3676744186,6748.56189664084,1
"BRONX COMMUNITY BOARD #1",112685.02,113600.12,915.099999999977,1
"BRONX COMMUNITY BOARD #10",41596.354,42346.482,750.128000000004,1
"BRONX COMMUNITY BOARD #11",66436.0333333333,77358.0733333333,10922.04,1
"BRONX COMMUNITY BOARD #12",100991.38,106976.535,5985.155,1
"BRONX COMMUNITY BOARD #2",62979.5933333333,69856.5533333333,6876.95999999999,1
"BRONX COMMUNITY BOARD #3",111001.41,114479.895,3478.485,1
"BRONX COMMUNITY BOARD #4",73476.3133333333,73423.5533333333,-52.7599999999948,-1
"BRONX COMMUNITY BOARD #5",44330.3966666667,53422.3533333333,9091.95666666667,1
"BRONX COMMUNITY BOARD #6",61444.4333333333,64157.11,2712.67666666667,1
"BRONX COMMUNITY BOARD #7",61587.2166666667,65016.0866666667,3428.87,1
"BRONX COMMUNITY BOARD #8",51214.2633333333,49545.59,-1668.67333333333,-1
"BRONX COMMUNITY BOARD #9",58767.51,60070.475,1302.965,1
"BRONX DISTRICT ATTORNEY",67120.8423688969,72125.7758036574,5004.93343476045,1
"BROOKLYN COMMUNITY BOARD #1",78447.61,78994.7366666667,547.126666666663,1
"BROOKLYN COMMUNITY BOARD #10",56327.725,57752.185,1424.46000000001,1
"BROOKLYN COMMUNITY BOARD #11",65444.3666666667,62962.82,-2481.54666666667,-1
"BROOKLYN COMMUNITY BOARD #12",55737.42,64529.19,8791.77,1
"BROOKLYN COMMUNITY BOARD #13",51981.035,55991.98,4010.94499999999,1
"BROOKLYN COMMUNITY BOARD #14",77589.0633333333,83471.975,5882.91166666667,1
"BROOKLYN COMMUNITY BOARD #15",54178.3366666667,40904.715,-13273.6216666667,-1
"BROOKLYN COMMUNITY BOARD #16",59491.7933333333,59157.1566666667,-334.636666666665,-1
"BROOKLYN COMMUNITY BOARD #17",54947.28,53789.15,-1158.13,-1
"BROOKLYN COMMUNITY BOARD #18",76465.3,77097.0633333333,631.763333333336,1
"BROOKLYN COMMUNITY BOARD #2",58037.235,47112.9225,-10924.3125,-1
"BROOKLYN COMMUNITY BOARD #3",66120.2633333333,67629.77,1509.50666666667,1
"BROOKLYN COMMUNITY BOARD #4",63271.5333333333,64505.0066666667,1233.47333333334,1
"BROOKLYN COMMUNITY BOARD #5",56958.355,57568.8175,610.462500000009,1
"BROOKLYN COMMUNITY BOARD #6",61140.1133333333,78697.0433333333,17556.93,1
"BROOKLYN COMMUNITY BOARD #7",73472.3833333333,74515.7866666667,1043.40333333334,1
"BROOKLYN COMMUNITY BOARD #8",85728.635,93011.435,7282.79999999999,1
